"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,4443.06422300268,167912.591549015,172355.655772018,0
2,21399.734331211,73760.3416735455,95160.0760047565,1.74384678217878
3,9005.68584839983,33935.6909463062,42941.3767947061,25.550851938523
4,4590.55259533958,18248.8346558541,22839.3872511937,35.5622788683287
5,2602.64726708678,10607.818210723,13210.4654778098,40.7505672066808
6,1546.64451283034,6306.73239669891,7853.37690952925,43.9020592328597
7,920.273273684126,3797.2957378384,4717.56901152253,45.8177569394168
8,559.777610958196,2315.27885658787,2875.05646754606,46.995361322894
9,341.988946984354,1418.17868252316,1760.16762950751,47.7296225173023
10,209.896559503085,869.792915234768,1079.68947473785,48.1925186577768
11,128.656438064716,534.683892252507,663.340330317223,48.4819250774357
12,79.2665333089599,329.153213561463,408.419746870423,48.6640185937513
13,48.7640713601873,203.047041163423,251.811112523611,48.7777764160975
14,30.1455346715788,125.397638162892,155.543172834471,48.8492978074529
15,18.6044776273757,77.7059595429846,96.3104371703603,48.8937096142477
16,11.5672581871476,48.2862920491725,59.85355023632,48.9214595899966
17,7.18372483433645,29.9742289614312,37.1579537957677,48.9389189984969
18,4.45764653327221,18.6189733021559,23.0766198354281,48.9498467486842
19,2.77111280606024,11.5705048333433,14.3416176394035,48.9567001605488
20,1.72150626602045,7.19190868114557,8.91341494716602,48.9609943319469
21,1.07058225104431,4.47938797735352,5.54997022839783,48.963670958617
22,0.667657525712933,2.79509220649861,3.46274973221154,48.9653405913518
23,0.416785242469363,1.74406651652962,2.16085175899898,48.9663867154798
24,0.2599421388412,1.08672506946113,1.34666720830233,48.9670445026563
25,0.161828935385447,0.676244172173179,0.838073107558626,48.9674580108141
26,0.100655359836997,0.420439949867457,0.521095309704453,48.9677178451865
27,0.0625627782508047,0.261835888246161,0.324398666496966,48.9678798407625
28,0.0390245835073882,0.16333086257928,0.202355446086668,48.9679810141393
