"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,3666.49029550944,198181.16742198,201847.657717489,0
2,28180.4408202672,90806.4446354106,118986.885455678,4.1394861932893
3,10100.4487074581,34658.0322254195,44758.4809328775,37.7449304634472
4,4206.78917228944,15538.4715382775,19745.260710567,49.7977532331694
5,2057.99820652319,8037.15304074906,10095.1512472722,54.852376494946
6,1127.29549409122,4538.34600832719,5665.64150241841,57.3802131086264
7,655.038185065261,2676.94999046004,3331.9881755253,58.8043080963685
8,391.582859829297,1610.66794761276,2002.25080744206,59.6582841009134
9,236.931459918486,978.150582735474,1215.08204265396,60.1833885293903
10,144.297430786696,594.87066827526,739.168099061955,60.5139941461101
11,87.6459445850484,362.507883046865,450.153827631914,60.7202512229641
12,53.5470955205295,221.340205735129,274.887301255658,60.8496905244991
13,32.6731155744795,135.207551338079,167.880666912559,60.9309086317005
14,19.9768337843117,82.8660802233338,102.842914007646,60.9814952589969
15,12.2667095073689,50.9111866787907,63.1778961861596,61.0131213369575
16,7.53790862099171,31.245766193128,38.7836748141198,61.0330611873787
17,4.62126046120017,19.211667624528,23.8329280857282,61.045506109496
18,2.8481660326426,11.8540723095727,14.7022383422153,61.0532599800825
19,1.75911570129447,7.3362836250787,9.09539932637317,61.0580864072418
20,1.09041746907711,4.54583413500486,5.63625160408197,61.0611078999777
21,0.67544849395335,2.81969590250396,3.49514439645731,61.0629951601086
22,0.419405027791672,1.7502749590889,2.16967998688057,61.0641769457947
23,0.26026570259669,1.08725503800774,1.34752074060443,61.0649155320469
24,0.161807181239339,0.676224373623495,0.838031554862835,61.065377031745
25,0.100667400190375,0.420801634615995,0.52146903480637,61.0656657326926
26,0.0626497445458517,0.261774226722544,0.324423971268396,61.065846717616
27,0.0389609744520612,0.163005496878657,0.201966471330719,61.0659596875135
28,0.0242867013346965,0.10163086567738,0.125917567012077,61.0660302530426
